Date,First _Num,Second_Num,Thrid_Num,Fourth_Num,Fifth_Num,Six_Num, Additional_Num
1/1/2024,8,16,23,24,36,48,5
5/1/2024,7,12,17,20,31,35,22
8/1/2024,11,20,28,30,36,38,37
11/1/2024,2,9,10,43,45,46,13
15/1/2024,24,25,26,28,30,35,4
18/1/2024,5,28,30,37,38,41,43
22/1/2024,1,3,8,13,40,48,6
25/1/2024,10,18,44,45,48,49,20
29/1/2024,20,22,24,28,40,49,27
2/5/2024,2,27,29,36,44,48,12
5/2/2024,14,17,20,25,28,37,13
8/2/2024,6,16,21,27,31,37,49
12/2/2024,9,16,20,25,31,39,41
15/2/2024,15,18,22,35,41,48,5
19/2/2024,1,10,21,29,35,42,27
23/2/2024,18,21,26,35,38,43,40
26/2/2024,2,8,14,27,39,42,10
29/2/2024,1,14,28,44,45,49,16
4/3/2024,13,17,25,27,28,44,3
7/3/2024,5,11,15,20,31,47,44
11/3/2024,5,9,30,37,40,49,33
14/3/2024,8,26,34,35,45,46,36
18/3/2024,1,4,6,15,30,48,45
21/3/2024,6,8,18,19,33,44,15
25/3/2024,4,23,25,27,28,32,21
28/3/2024,6,8,13,17,26,37,18
1/4/2024,3,12,18,19,27,41,15
4/4/2024,3,4,13,31,36,43,19
8/4/2024,12,23,24,34,43,46,42
11/4/2024,22,28,33,40,43,47,16
15/4/2024,5,10,28,36,41,42,19
18/4/2024,18,22,29,32,37,47,49
22/4/2024,6,8,11,16,33,37,23
25/4/2024,5,9,11,18,28,36,35
29/4/2024,2,7,12,31,36,45,30
2/5/2024,4,5,31,37,43,46,7
6/5/2024,1,5,9,31,33,37,36
9/5/2024,9,15,20,26,43,49,36
13/5/2024,2,16,17,22,24,49,42
16/5/2024,2,12,15,28,35,48,24
20/5/2024,7,10,32,33,39,48,37
23/5/2024,3,4,22,27,39,43,6
27/5/2024,14,23,28,34,41,48,17
30/5/2024,6,9,11,17,28,45,21
3/6/2024,1,28,30,32,33,39,11
6/6/2024,4,5,10,14,35,43,12
10/6/2024,1,10,13,23,31,34,43
13/6/2024,4,7,10,17,30,41,21
17/6/2024,8,10,12,16,17,30,19
20/6/2024,3,12,14,16,17,30,27
24/6/2024,20,23,28,30,34,49,25
27/6/2024,1,8,11,14,17,30,5
1/7/2024,11,19,21,26,28,33,39
4/7/2024,4,9,12,15,31,44,33
8/7/2024,15,18,29,34,38,44,35
11/7/2024,15,17,22,32,34,40,6
15/7/2024,4,6,17,32,37,41,10
18/7/2024,8,10,11,12,14,20,38
22/7/2024,4,9,12,15,37,47,44
25/7/2024,14,21,34,35,43,49,33
29/7/2024,19,24,29,30,31,46,28
2/8/2024,14,16,22,23,36,42,21
5/8/2024,1,12,15,30,42,43,22
8/8/2024,23,26,32,36,41,49,31
12/8/2024,2,8,27,33,34,43,11
15/8/2024,15,24,35,36,42,46,48
19/8/2024,2,3,16,26,29,41,12
22/8/2024,2,5,8,43,45,48,41
26/8/2024,6,8,18,34,35,37,33
29/8/2024,3,9,10,12,27,41,29
2/9/2024,6,7,13,30,37,39,16
5/9/2024,1,13,27,38,40,43,2
9/9/2024,1,4,10,16,18,29,6
12/9/2024,5,6,14,36,45,49,12
16/9/2024,2,8,15,19,33,38,21
19/9/2024,7,13,17,22,31,37,1
23/9/2024,9,20,22,32,37,47,1
26/9/2024,17,23,26,31,38,40,14
30/9/2024,4,33,34,38,40,43,15
3/10/2024,2,9,15,17,40,48,28
7/10/2024,16,22,23,31,41,49,8
10/10/2024,1,17,24,25,27,39,30
14/10/2024,12,33,39,42,43,48,10
17/10/2024,2,4,10,25,36,38,22
21/10/2024,4,13,19,44,46,49,31
24/10/2024,20,24,28,37,46,47,36
28/10/2024,10,16,33,37,45,47,6
31/10/2024,2,6,10,17,18,49,35
4/11/2024,14,18,25,28,29,44,36
7/11/2024,4,12,17,18,23,34,28
11/11/2024,13,28,39,43,46,48,30
14/11/2024,12,16,29,36,39,40,37
18/11/2024,1,2,14,36,44,46,20
21/11/2024,4,7,11,14,21,28,36
25/11/2024,26,28,31,38,41,42,23
28/11/2024,1,2,4,15,18,24,35
2/12/2024,10,11,12,21,41,49,44
5/12/2024,8,14,15,20,31,49,13
9/12/2024,1,4,8,10,16,46,23
12/12/2024,17,18,19,31,32,33,8
16/12/2024,13,19,22,26,40,49,45
19/12/2024,3,9,10,20,23,32,42
23/12/2024,34,40,42,44,45,46,19
26/12/2024,8,21,30,35,44,49,39
30/12/2024,3,10,13,29,32,46,18
